"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2014",1.754558,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2015",-14.09831,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2016",-1.196532,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2017",9.611512,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2018",10.63437,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2019",-4.131877,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2020",-0.6951986,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2008",12.09154,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2009",-33.79679,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2010",12.75387,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2011",22.62739,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2012",-8.638062,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2013",1.233931,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2014",-0.8695114,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2015",-21.51822,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2016",0.3859721,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2017",16.48062,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2018",11.399,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2019",-6.171076,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2020",-7.80961,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2008",12.87165,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2009",-21.10505,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2010",7.849645,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2011",18.22783,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2012",-6.121593,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2013",1.472237,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2014",-0.9122968,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2015",-15.82441,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2016",-0.8430493,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2017",9.720849,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2018",9.089557,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2019",-3.132771,
