"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2014",0.3600439,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2015",-14.50443,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2016",-0.6417319,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2017",7.597874,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2018",7.359606,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2019",1.401118,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2020",-2.78296,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2008",6.942813,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2009",-34.91743,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2010",10.04282,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2011",14.36344,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2012",-7.052147,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2013",1.650887,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2014",-0.3436778,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2015",-19.49812,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2016",-3.326049,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2017",17.70769,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2018",11.45153,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2019",-2.896314,
"FIN","TRADEGOOD","EXP","PC_CHGPP","A","2020",-10.28395,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2008",9.865029,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2009",-21.2212,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2010",7.299498,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2011",14.37871,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2012",-4.424405,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2013",2.426974,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2014",0.09225857,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2015",-13.21214,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2016",-1.278884,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2017",7.519257,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2018",8.421218,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2019",-1.66457,
"FRA","TRADEGOOD","EXP","PC_CHGPP","A","2020",-14.72965,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2008",8.815256,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2009",-22.72231,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2010",11.88662,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2011",17.33422,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2012",-4.006695,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2013",3.097769,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2014",3.26867,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2015",-11.74241,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2016",0.4743612,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2017",9.003249,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2018",8.088151,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2019",-4.520386,
"DEU","TRADEGOOD","EXP","PC_CHGPP","A","2020",-7.783941,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2008",17.75649,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2009",-19.68763,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2010",11.2378,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2011",20.69221,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2012",5.092704,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2013",2.408476,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2014",-0.3839666,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2015",-20.65278,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2016",-1.864313,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2017",16.17165,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2018",21.12237,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2019",-4.026321,
"GRC","TRADEGOOD","EXP","PC_CHGPP","A","2020",-7.074684,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2008",14.27257,
